hgnc_id	symbol	name	aliases	entrez	ensembl	uniprot	chromosome
HGNC:5	A1BG	alpha-1-B glycoprotein		1	ENSG00000121410	P04217	19q13.43
HGNC:24086	A1CF	APOBEC1 complementation factor	ACF|ACF64|ACF65|APOBEC1CF|ASP	29974	ENSG00000148584	Q9NQ94	10q21.1
HGNC:7	A2M	alpha-2-macroglobulin	CPAMD5|FWP007|S863-7	2	ENSG00000175899	P01023	12p13.31
HGNC:23336	A2ML1	alpha-2-macroglobulin-like 1	CPAMD9|FLJ25179	144568	ENSG00000166535	A8K2U0	12p13
HGNC:30005	A3GALT2	alpha 1,3-galactosyltransferase 2	A3GALT2P|IGBS3S	127550	ENSG00000184389	-	1p35.1
HGNC:18149	A4GALT	alpha 1,4-galactosyltransferase	A14GALT|Gb3S|P(k)	53947	ENSG00000128274	Q9NPC4	22q13.2
HGNC:17968	A4GNT	alpha-1,4-N-acetylglucosaminyltransferase	alpha4GnT	51146	ENSG00000118017	Q9UNA3	3p14.3
HGNC:13666	AAAS	achalasia, adrenocortical insufficiency, alacrimia		8086	ENSG00000094914	Q9NRG9	12q13
HGNC:21298	AACS	acetoacetyl-CoA synthetase	ACSF1|FLJ12389|SUR-5	65985	ENSG00000081760	Q86V21	12q24.31
HGNC:17	AADAC	arylacetamide deacetylase	CES5A1|DAC	13	ENSG00000114771	P22760	3q25.1
HGNC:24427	AADACL2	arylacetamide deacetylase-like 2	MGC72001	344752	ENSG00000197953	Q6P093	3q25.1
HGNC:32037	AADACL3	arylacetamide deacetylase-like 3	OTTHUMG00000001887	126767	ENSG00000188984	Q5VUY0	1p36.21
HGNC:32038	AADACL4	arylacetamide deacetylase-like 4	OTTHUMG00000001889	343066	ENSG00000204518	Q5VUY2	1p36.21
HGNC:17929	AADAT	aminoadipate aminotransferase	KAT2|KATII	51166	ENSG00000109576	Q8N5Z0	4q33
HGNC:16881	AAED1	AhpC/TSA antioxidant enzyme domain containing 1	C9orf21	195827	ENSG00000158122	Q7RTV5	9q22.32
HGNC:25662	AAGAB	alpha- and gamma-adaptin binding protein	FLJ11506|p34	79719	ENSG00000103591	Q6PD74	15q22.33-q23
HGNC:19679	AAK1	AP2 associated kinase 1	DKFZp686K16132|KIAA1048	22848	ENSG00000115977	Q2M2I8	2p13.3
HGNC:30205	AAMDC	adipogenesis associated, Mth938 domain containing	C11orf67|CK067|FLJ21035|PTD015	28971	ENSG00000087884	Q9H7C9	11q14.1
HGNC:18	AAMP	angio-associated, migratory cell protein		14	ENSG00000127837	Q13685	2q
HGNC:19	AANAT	aralkylamine N-acetyltransferase	SNAT	15	ENSG00000129673	Q16613	17q25.1
HGNC:15886	AAR2	AAR2 splicing factor homolog (S. cerevisiae)	C20orf4|bA234K24.2	25980	ENSG00000131043	Q9Y312	20q11.23
HGNC:33842	AARD	alanine and arginine rich domain containing protein	C8orf85|LOC441376	441376	ENSG00000205002	Q4LEZ3	8q24.11
HGNC:20	AARS	alanyl-tRNA synthetase		16	ENSG00000090861	P49588	16q22.1
HGNC:21022	AARS2	alanyl-tRNA synthetase 2, mitochondrial	AARSL|KIAA1270|bA444E17.1	57505	ENSG00000124608	Q5JTZ9	6p21.1
HGNC:28417	AARSD1	alanyl-tRNA synthetase domain containing 1	MGC2744	80755	ENSG00000266967	Q9BTE6	17q21.31
HGNC:23993	AASDH	aminoadipate-semialdehyde dehydrogenase	ACSF4|LYS2|NRPS998	132949	ENSG00000157426	Q4L235	4q12
HGNC:14235	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	AASD-PPT|CGI-80|LYS5	60496	ENSG00000149313	Q9NRN7	11q22
HGNC:17366	AASS	aminoadipate-semialdehyde synthase	LKRSDH|LORSDH	10157	ENSG00000008311	Q9UDR5	7q31.3
HGNC:19235	AATF	apoptosis antagonizing transcription factor	BFR2|CHE-1|CHE1|DED	26574	ENSG00000108270	Q9NY61	17q12
